Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Saúde/Comércio Distr.;HYPE3;HYPERA;ON      NM;409.490.388;0,623;2,175
Saúde/Comércio Distr.;RADL3;RAIADROGASIL;ON      NM;1.263.596.819;1,552;2,175
Saúde/SM Hosp An.Diag;FLRY3;FLEURY;ON      NM;345.269.967;0,267;2,497
Saúde/SM Hosp An.Diag;HAPV3;HAPVIDA;ON      NM;4.324.011.467;0,846;2,497
Saúde/SM Hosp An.Diag;RDOR3;REDE D OR;ON      NM;1.168.230.366;1,384;2,497
Tec.Informação/Programas Servs;LWSA3;LOCAWEB;ON      NM;425.161.586;0,138;0,828
Tec.Informação/Programas Servs;TOTS3;TOTVS;ON      NM;514.122.351;0,69;0,828
Telecomunicação;VIVT3;TELEF BRASIL;ON;423.091.712;0,976;1,597
Telecomunicação;TIMS3;TIM;ON      NM;807.896.814;0,621;1,597
Utilidade Públ / Água Saneamento;SBSP3;SABESP;ON      NM;340.001.799;1,003;1,003
Utilidade Públ / Energ Elétrica;CMIG4;CEMIG;PN      N1;1.437.415.777;0,874;10,138
Utilidade Públ / Energ Elétrica;CPLE6;COPEL;PNB     N2;1.679.335.290;0,709;10,138
Utilidade Públ / Energ Elétrica;CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,314;10,138
Utilidade Públ / Energ Elétrica;ELET3;ELETROBRAS;ON      N1;1.980.568.384;3,539;10,138
Utilidade Públ / Energ Elétrica;ELET6;ELETROBRAS;PNB     N1;270.230.714;0,532;10,138
Utilidade Públ / Energ Elétrica;ENGI11;ENERGISA;UNT     N2;290.435.910;0,681;10,138
Utilidade Públ / Energ Elétrica;ENEV3;ENEVA;ON      NM;1.578.931.315;0,87;10,138
Utilidade Públ / Energ Elétrica;EGIE3;ENGIE BRASIL;ON      NM;255.230.961;0,505;10,138
Utilidade Públ / Energ Elétrica;EQTL3;EQUATORIAL;ON      NM;1.095.587.251;1,746;10,138
Utilidade Públ / Energ Elétrica;TAEE11;TAESA;UNT     N2;218.568.234;0,368;10,138
